,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
101,50628,38148.8,41.624,0.602
102,51160,40346.7,30.000,0.050
103,51669,23706.9,30.000,0.050
104,52213,26571.7,39.436,0.558
105,52727,27569.9,53.128,0.445
106,53190,24274.3,30.000,0.509
107,53722,19721.8,55.292,0.633
108,54228,27299.8,48.965,0.050
109,54714,16367.5,30.324,0.861
110,55250,11352.4,34.727,0.189
111,55712,18229.8,36.143,0.124
112,56194,18558.8,30.000,1.145
113,56686,13230.3,69.302,0.662
114,57180,16761.1,70.364,0.162
115,57720,17315.6,61.944,0.137
116,58218,16678.3,39.501,0.841
117,58762,26724.4,83.100,0.280
118,59223,16173.0,37.500,0.050
119,59696,24345.6,63.077,0.162
120,60244,15715.3,50.926,0.430
121,60794,21829.1,70.723,0.809
122,61338,21239.4,47.222,0.050
123,61804,28747.8,42.888,0.134
124,62277,25039.9,30.000,0.409
125,62783,16635.9,63.743,0.429
126,63325,20509.0,66.208,0.119
127,63832,29730.5,51.113,0.668
128,64382,8823.1,55.510,0.050
129,64888,30739.9,38.148,0.397
130,65386,13751.7,49.715,0.475
131,65913,23408.9,57.340,0.590
132,66445,14263.2,51.758,1.022
133,66961,16204.8,57.296,0.050
134,67508,23501.0,63.852,0.050
135,67969,19051.8,60.033,0.183
136,68476,30371.3,30.000,0.050
137,68973,23072.6,54.320,1.907
138,69470,43872.2,37.925,0.050
139,69937,18543.5,82.533,0.566
140,70447,28546.3,42.266,0.150
141,70897,21609.3,52.439,0.245
142,71374,35135.8,33.709,0.213
143,71838,20300.2,51.809,0.050
144,72303,37975.0,54.626,0.451
145,72767,21491.8,59.149,0.050
146,73285,39577.9,51.861,0.314
147,73789,34448.4,63.992,0.305
148,74312,19766.1,61.094,1.464
149,74770,41112.6,68.000,0.119
150,75320,40141.0,48.603,0.050
151,75851,35727.5,39.010,0.615
152,76396,44028.5,52.694,0.050
153,76926,40761.0,65.754,0.700
154,77472,28806.1,53.924,0.050
155,77944,25820.0,61.027,0.050
156,78483,24970.9,51.280,0.825
157,78991,39514.3,59.795,0.377
158,79466,35248.8,41.410,0.114
159,79985,37495.1,45.960,0.323
160,80517,32719.0,63.142,0.493
161,81009,14266.5,46.092,1.187
162,81514,40138.5,34.170,0.690
163,81987,25137.7,32.407,0.314
164,82503,29651.6,56.195,0.050
165,82976,33878.3,37.331,0.176
166,83436,26850.3,61.083,0.050
167,83907,34240.8,44.841,0.050
168,84362,15187.2,39.412,0.050
169,84819,11836.5,69.038,0.624
170,85315,10044.6,47.949,0.367
171,85842,21274.2,42.967,0.050
172,86308,29502.1,60.678,0.050
173,86830,24389.2,58.479,0.358
174,87337,25491.0,45.427,0.354
175,87854,12189.0,41.262,0.622
176,88339,20007.2,57.361,0.247
177,88838,12973.8,56.428,0.171
178,89387,19578.5,66.275,0.710
179,89899,19887.6,52.495,0.557
180,90358,7739.4,59.526,0.098
181,90895,20869.6,93.131,0.050
182,91430,18736.6,54.499,0.050
183,91900,16689.5,41.837,0.050
184,92431,22609.1,62.623,0.534
185,92898,37179.9,51.458,0.882
186,93394,14571.5,45.208,0.510
187,93922,12828.1,54.132,0.177
188,94422,29558.4,49.939,0.050
189,94945,18348.4,85.951,0.899
190,95477,26002.8,57.547,0.050
191,96026,19657.7,31.059,0.089
192,96574,26244.8,46.640,0.443
193,97039,18922.1,37.309,0.252
194,97509,15842.0,71.165,0.050
195,97995,31751.4,56.459,0.050
196,98526,24626.6,46.746,0.050
197,98987,14141.8,40.885,0.295
198,99511,24982.0,68.129,0.175
199,100033,19279.2,81.884,0.895
200,100581,19714.7,39.902,0.355
201,101112,21742.0,80.884,0.498
202,101631,25055.6,86.419,0.050
203,102168,31546.4,36.298,0.606
204,102706,38006.8,55.934,0.050
205,103233,30533.9,68.477,1.080
206,103723,28425.5,30.000,0.562
207,104220,29347.3,42.924,0.278
208,104700,23827.6,52.475,0.303
209,105187,33609.9,78.225,0.050
210,105690,30174.1,80.034,0.539
211,106213,36009.0,48.244,0.050
212,106683,20380.3,50.197,0.050
213,107135,30053.6,62.658,0.568
214,107643,35447.0,47.830,0.203
215,108156,32056.5,30.000,0.050
216,108692,20245.4,53.419,0.604
217,109175,23040.0,46.410,0.050
218,109671,32488.6,51.363,0.050
219,110157,27125.0,31.962,0.494
220,110686,28295.9,43.166,0.794
221,111179,28751.7,36.624,0.130
222,111647,33002.8,66.985,0.148
223,112114,29998.8,43.859,0.050
224,112630,19473.8,55.468,0.050
225,113158,29306.2,43.744,0.754
226,113686,29547.6,37.379,0.050
227,114204,42859.8,30.741,0.341
228,114714,33078.6,36.831,0.050
229,115238,10151.4,38.619,1.301
230,115776,22581.2,35.324,0.229
231,116325,41625.1,40.505,0.130
232,116781,25766.5,45.405,0.050
233,117279,21937.1,63.578,0.905
234,117733,18846.2,39.743,0.496
235,118236,38038.3,63.336,0.924
236,118738,19000.2,49.764,0.050
237,119281,32757.6,57.559,0.404
238,119757,5000.0,30.159,0.050
239,120229,31054.1,32.078,0.455
